ActionGeo_ADM1Code,ActionGeo_CountryCode,ActionGeo_FeatureID,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Type,Actor1Code,Actor1CountryCode,Actor1EthnicCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_CountryCode,Actor1Geo_FullName,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_Type,Actor1KnownGroupCode,Actor1Name,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2CountryCode,Actor2EthnicCode,Actor2Geo_ADM1Code,Actor2Geo_CountryCode,Actor2Geo_FeatureID,Actor2Geo_FullName,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_Type,Actor2KnownGroupCode,Actor2Name,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,AvgTone,DATEADDED,EventBaseCode,EventCode,EventRootCode,FractionDate,GLOBALEVENTID,GoldsteinScale,IsRootEvent,MonthYear,NumArticles,NumMentions,NumSources,QuadClass,SOURCEURL,SQLDATE,Year,index
ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,COP,,,ID04,-6.17444,ID,"Jakarta, Jakarta Raya, Indonesia",106.829,-2679652,4,,POLICE,,,COP,,,IDN,IDN,,ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,,INDONESIA,,,,,,-1.418439716,20181009,40,40,4,2018.7644,793135420,1,0,201810,4,4,1,1,http://en.tempo.co/read/news/2018/10/09/055922351/Prabowo-Team-Deems-Amien-Rais-Summon-as-Criminalization-Attempt,20181009,2018,308
ID,ID,ID,Indonesia,-5,120,1,AFG,AFG,,ID,-5,ID,Indonesia,120,ID,1,,AFGHANISTAN,,,,,,IDN,IDN,,ID,ID,ID,Indonesia,-5,120,1,,INDONESIAN,,,,,,1.10701107,20181006,43,43,4,2018.7562,792605342,2.8,0,201810,2,2,1,1,https://thefrontierpost.com/indonesia-asks-taliban-to-renounce-violence-choose-talks/,20181006,2018,685
ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,OPP,,,ID04,-6.17444,ID,"Jakarta, Jakarta Raya, Indonesia",106.829,-2679652,4,,ANTI GOVERNMENT ACTIVIST,,,OPP,,,IDN,IDN,,ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,,JAKARTA,,,,,,-6.423173804,20181004,173,173,17,2017.7507,792017263,-5,0,201710,2,2,1,4,https://www.straitstimes.com/asia/se-asia/anti-jokowi-activist-caught-in-lie-over-assault-claims-resigns-from-prabowos-campaign,20171004,2017,725
ID30,ID,9046234,"Husein Sastranegara, Jawa Barat, Indonesia",-6.9225,107.6,4,IDNOPP,IDN,,ID30,-6.9225,ID,"Husein Sastranegara, Jawa Barat, Indonesia",107.6,9046234,4,,INDONESIA,,,OPP,,,IDN,IDN,,ID30,ID,9046234,"Husein Sastranegara, Jawa Barat, Indonesia",-6.9225,107.6,4,,BANDUNG,,,,,,-8.722741433,20181003,180,180,18,2018.7479,791758731,-9,1,201810,2,2,1,4,http://www.thejakartapost.com/news/2018/10/03/i-was-not-assaulted-ratna-sarumpaet-apologizes-for-lying.html,20181003,2018,836
ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,IDN,IDN,,ID04,-6.17444,ID,"Jakarta, Jakarta Raya, Indonesia",106.829,-2679652,4,,JAKARTA,,,,,,IDNOPP,IDN,,ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,,INDONESIA,,,OPP,,,-9.189189189,20181003,90,90,9,2018.7479,791761944,-2,1,201810,2,2,1,2,http://en.tempo.co/read/news/2018/10/03/055922213/Police-Tracking-Source-of-Ratna-Sarumpaet-Assault-Report,20181003,2018,840
ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,IDNCOP,IDN,,ID04,-6.17444,ID,"Jakarta, Jakarta Raya, Indonesia",106.829,-2679652,4,,INDONESIA,,,COP,,,IDN,IDN,,ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,,JAKARTA,,,,,,-6.319702602,20181002,90,90,9,2017.7452,791478289,-2,0,201710,2,2,1,2,http://www.thejakartapost.com/news/2018/10/02/ratna-sarumpaet-suffering-from-injuries-after-assault-prabowo-camp.html,20171002,2017,850
ID,ID,ID,Indonesia,-5,120,1,COP,,,ID,-5,ID,Indonesia,120,ID,1,,PRISON,,,COP,,,IDN,IDN,,ID,ID,ID,Indonesia,-5,120,1,,INDONESIA,,,,,,-8.366874548,20180927,12,12,1,2018.7315,790379995,-0.4,1,201809,418,418,41,1,https://www.sfgate.com/news/crime/article/Seafood-firm-owner-pleads-guilty-to-falsely-13262939.php,20180927,2018,917
ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,COP,,,ID04,-6.17444,ID,"Jakarta, Jakarta Raya, Indonesia",106.829,-2679652,4,,POLICE,,,COP,,,IDN,IDN,,ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,,INDONESIA,,,,,,-7.666666667,20180920,173,173,17,2018.7123,788356347,-5,1,201809,6,6,2,4,http://www.thejakartapost.com/news/2018/09/20/greater-jakarta-suspects-44-car-thefts-arrested.html,20180920,2018,973
ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,COP,,,ID04,-6.17444,ID,"Jakarta, Jakarta Raya, Indonesia",106.829,-2679652,4,,POLICE,,,COP,,,IDN,IDN,,ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,,INDONESIA,,,,,,-2.527170737,20180919,173,173,17,2018.7096,788149111,-5,1,201809,6,6,1,4,http://www.thejakartapost.com/news/2018/09/19/suspects-of-44-car-thefts-arrested-in-east-jakarta.html,20180919,2018,988
ID30,ID,11274636,"Subang, Jawa Barat, Indonesia",-7.2889,108.273,4,CVL,,,ID30,-7.2889,ID,"Subang, Jawa Barat, Indonesia",108.273,11274636,4,,TOURIST,,,CVL,,,IDN,IDN,,ID30,ID,-2679921,"West Java, Jawa Barat, Indonesia",-6.75,107.5,5,,WEST JAVA,,,,,,-6.636439584,20180909,42,42,4,2018.6822,785570029,1.9,1,201809,42,42,21,1,https://www.sfchronicle.com/news/crime/article/21-killed-as-Indonesia-bus-plunges-into-ravine-13214513.php,20180909,2018,1175
